"Mutual_Information","Mira_Score","Mean_Distance","Brownian_Covariate","GO"
0.0153887917637958,0.00840991651525872,0.0705326127593695,0.0551935455686963,"GO:0008285"
0.041466581547873,0.0688615082416214,0.439320547278906,0.31990542361333,"GO:0006944"
0.00522438276382999,0.011156785919163,0.200101138243183,0.175765011215682,"GO:0007009"
0.0250267790270126,0.023767086807893,0.213322177813046,0.247842325731234,"GO:0006342"
0.211330706918062,0.0902012546262578,0.049496116250107,0.0815619629153454,"GO:0031047"
0.00050740873534459,0.00202218972654428,0.0257271652661118,0.020893412019197,"GO:0045454"
0.121228867856414,0.154263008147346,0.292146592749226,0.229085227280724,"GO:0046716"
0.0408074567866096,0.040104723621154,0.0732429628523324,0.12012343435991,"GO:0000082"
0.118534700072227,0.136568741113864,0.103250225408203,0.114841158019576,"GO:0000086"
0.0011097597534501,0.00155594600524134,0.0112949314895202,0.00913013072773866,"GO:0007050"
0.00439024515052639,0.00311064523072553,0.159618700325772,0.228321305016451,"GO:0007098"
0.0507407344202748,0.0216471096717088,0.211750004121465,0.251686384947567,"GO:0010948"
0.0126979996372774,0.0116613751612326,0.13638239440644,0.17287072533418,"GO:0022618"
0.260605571800132,0.199887487895417,0.0252219786373948,0.0174692723612262,"GO:0042274"
0.00440074466630212,0.00339677707553065,0.00108824973704642,0.00193739622139224,"GO:0030036"
0.0284361027489322,0.055054825782456,0.148452650440917,0.174506236783004,"GO:0030048"
0.0207698905683468,0.0205278301116851,0.0390687325646805,0.027406478488183,"GO:0031345"
0.0699797954245027,0.040731192303,0.0021442864243611,0.00376049452027943,"GO:0031346"
0.0916696460525197,0.10659533153838,0.00584191988385809,0.0099020157647712,"GO:0045216"
0.0879759837681748,0.0864675916054677,0.126713159161816,0.136386218621464,"GO:0030198"
0.324039554820595,0.374260067681682,0.0615524858506769,0.0486072633426047,"GO:0045104"
0.368280491755872,0.463921025559451,0.447294831680618,0.48981394482627,"GO:0046887"
0.0369277055110802,0.0251572201944362,0.544470183779689,0.549733515902156,"GO:0050714"
0.635583492527523,0.554785541676937,0.538639795462059,0.485394850382229,"GO:0046888"
0.539223101556094,0.412387749313488,0.495906555246287,0.481950120074408,"GO:0050709"
